dia,hora,partido,inf,sup,med
01,2205,JHRC,5.3,5.64,5.43
01,2205,PART,62.93,63.63,63.28
01,2205,RAC,22,22.74,22.36
01,2210,AMLO,52.98,53.73,53.36
01,2210,JAMK,15.68,16.34,15.98
01,2210,JHRC,5.29,5.56,5.41
01,2210,PART,62.97,63.64,63.31
01,2210,RAC,22.04,22.73,22.38
01,2215,AMLO,52.92,53.66,53.3
01,2215,JAMK,15.69,16.35,16
01,2215,JHRC,5.29,5.57,5.4
01,2215,PART,63.03,63.7,63.37
01,2215,RAC,22.1,22.77,22.42
01,2220,AMLO,52.93,53.64,53.3
01,2220,JAMK,15.71,16.34,16
01,2220,JHRC,5.29,5.56,5.4
01,2220,PART,63.01,63.66,63.34
01,2220,RAC,22.12,22.76,22.43
01,2225,AMLO,52.93,53.63,53.28
01,2225,JAMK,15.72,16.34,16.01
01,2225,JHRC,5.28,5.56,5.39
01,2225,PART,63.03,63.67,63.35
01,2225,RAC,22.15,22.77,22.45
01,2230,AMLO,52.94,53.62,53.29
01,2230,JAMK,15.72,16.34,16.01
01,2230,JHRC,5.29,5.56,5.39
01,2230,PART,63.08,63.68,63.38
01,2230,RAC,22.15,22.76,22.45
01,2235,AMLO,52.91,53.6,53.27
01,2235,JAMK,15.73,16.34,16.02
01,2235,JHRC,5.29,5.55,5.39
01,2235,PART,63.1,63.69,63.41
01,2235,RAC,22.16,22.77,22.45
01,2240,AMLO,52.95,53.62,53.29
01,2240,JAMK,15.75,16.34,16.02
01,2240,JHRC,5.28,5.54,5.38
01,2240,PART,63.1,63.68,63.39
01,2240,RAC,22.14,22.74,22.43
01,2245,AMLO,52.94,53.6,53.27
01,2245,JAMK,15.8,16.4,16.08
01,2245,JHRC,5.27,5.52,5.37
01,2245,PART,63.1,63.69,63.4
01,2245,RAC,22.11,22.7,22.4
01,2250,AMLO,52.94,53.59,53.27
01,2250,JAMK,15.81,16.41,16.09
01,2250,JHRC,5.27,5.53,5.37
01,2250,PART,63.14,63.71,63.44
01,2250,RAC,22.11,22.7,22.39
01,2255,AMLO,53.03,53.7,53.38
01,2255,JAMK,15.76,16.35,16.03
01,2255,JHRC,5.25,5.47,5.35
01,2255,PART,63.14,63.72,63.43
01,2255,RAC,22.07,22.66,22.35
01,2300,AMLO,53.05,53.72,53.39
01,2300,JAMK,15.75,16.35,16.03
01,2300,JHRC,5.26,5.47,5.35
01,2300,PART,63.15,63.72,63.45
01,2300,RAC,22.06,22.65,22.34
01,2305,AMLO,53.07,53.73,53.41
01,2305,JAMK,15.76,16.36,16.04
01,2305,JHRC,5.25,5.47,5.35
01,2305,PART,63.14,63.7,63.43
01,2305,RAC,22.05,22.62,22.33
01,2310,AMLO,53.08,53.72,53.41
01,2310,JAMK,15.76,16.33,16.02
01,2310,JHRC,5.25,5.47,5.35
01,2310,PART,63.17,63.72,63.45
01,2310,RAC,22.07,22.65,22.34
01,2315,AMLO,53.05,53.69,53.39
01,2315,JAMK,15.77,16.34,16.03
01,2315,JHRC,5.26,5.48,5.35
01,2315,PART,63.17,63.72,63.45
01,2315,RAC,22.07,22.64,22.35
01,2320,AMLO,53.06,53.7,53.39
01,2320,JAMK,15.76,16.34,16.03
01,2320,JHRC,5.25,5.47,5.34
01,2320,PART,63.13,63.67,63.4
01,2320,RAC,22.07,22.64,22.35
01,2325,AMLO,53.04,53.68,53.37
01,2325,JAMK,15.79,16.35,16.05
01,2325,JHRC,5.25,5.47,5.34
01,2325,PART,63.14,63.68,63.41
01,2325,RAC,22.07,22.65,22.35
01,2330,AMLO,53.07,53.7,53.39
01,2330,JAMK,15.77,16.35,16.03
01,2330,JHRC,5.26,5.48,5.35
01,2330,PART,63.13,63.67,63.41
01,2330,RAC,22.06,22.63,22.33
01,2335,AMLO,53.05,53.68,53.38
01,2335,JAMK,15.79,16.35,16.05
01,2335,JHRC,5.26,5.47,5.35
01,2335,PART,63.13,63.67,63.41
01,2335,RAC,22.06,22.63,22.33
01,2340,AMLO,53.07,53.7,53.39
01,2340,JAMK,15.78,16.36,16.05
01,2340,JHRC,5.26,5.47,5.35
01,2340,PART,63.16,63.7,63.44
01,2340,RAC,22.06,22.61,22.32
01,2345,AMLO,53.07,53.7,53.39
01,2345,JAMK,15.8,16.36,16.06
01,2345,JHRC,5.26,5.48,5.35
01,2345,PART,63.17,63.7,63.44
01,2345,RAC,22.05,22.61,22.31
01,2350,AMLO,53.04,53.68,53.37
01,2350,JAMK,15.81,16.37,16.07
01,2350,JHRC,5.26,5.47,5.35
