dia,hora,partido,inf,sup,med
01,2220,JAMK,15.69,16.45,16.04
01,2220,JHRC,5.31,5.79,5.49
01,2220,PART,62.97,64.05,63.48
01,2220,RAC,22.06,22.82,22.42
01,2225,AMLO,52.78,53.62,53.21
01,2225,JAMK,15.69,16.44,16.04
01,2225,JHRC,5.31,5.78,5.49
01,2225,PART,62.97,64.03,63.47
01,2225,RAC,22.08,22.83,22.43
01,2230,AMLO,52.79,53.62,53.21
01,2230,JAMK,15.7,16.44,16.04
01,2230,JHRC,5.31,5.78,5.49
01,2230,PART,63,64.03,63.49
01,2230,RAC,22.08,22.82,22.43
01,2235,AMLO,52.77,53.6,53.2
01,2235,JAMK,15.72,16.44,16.05
01,2235,JHRC,5.31,5.78,5.49
01,2235,PART,63.02,64.04,63.5
01,2235,RAC,22.09,22.82,22.43
01,2240,AMLO,52.79,53.61,53.22
01,2240,JAMK,15.72,16.45,16.06
01,2240,JHRC,5.3,5.77,5.48
01,2240,PART,62.99,64,63.48
01,2240,RAC,22.08,22.79,22.41
01,2245,AMLO,52.82,53.62,53.23
01,2245,JAMK,15.79,16.49,16.11
01,2245,JHRC,5.29,5.72,5.45
01,2245,PART,63.01,63.99,63.49
01,2245,RAC,22.04,22.74,22.36
01,2250,AMLO,52.82,53.62,53.24
01,2250,JAMK,15.79,16.49,16.12
01,2250,JHRC,5.28,5.71,5.44
01,2250,PART,63.05,64.03,63.53
01,2250,RAC,22.03,22.73,22.36
01,2255,AMLO,52.98,53.71,53.36
01,2255,JAMK,15.77,16.42,16.07
01,2255,JHRC,5.26,5.61,5.38
01,2255,PART,63.14,64.05,63.57
01,2255,RAC,21.99,22.65,22.3
01,2300,AMLO,53,53.72,53.37
01,2300,JAMK,15.77,16.41,16.07
01,2300,JHRC,5.27,5.61,5.39
01,2300,PART,63.15,64.04,63.58
01,2300,RAC,21.99,22.64,22.3
01,2305,AMLO,53.01,53.73,53.38
01,2305,JAMK,15.78,16.42,16.08
01,2305,JHRC,5.26,5.61,5.38
01,2305,PART,63.12,64.02,63.55
01,2305,RAC,21.99,22.62,22.28
01,2310,AMLO,53.02,53.73,53.39
01,2310,JAMK,15.77,16.4,16.06
01,2310,JHRC,5.26,5.61,5.38
01,2310,PART,63.15,64.04,63.58
01,2310,RAC,22,22.63,22.29
01,2315,AMLO,53,53.72,53.37
01,2315,JAMK,15.78,16.41,16.07
01,2315,JHRC,5.26,5.61,5.38
01,2315,PART,63.15,64.04,63.57
